© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->hdMouse_Final->BlackSig - 2019-04-13 08:24 PM
Workspace	My Projects
Project	hdMouse_Final
Analysis	BlackSig - 2019-04-13 08:24 PM
Date	Sat Apr 13 17:24:40 PDT 2019
Analysis ID	17688863

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Mouse OR Rat OR Human) AND
(confidence = Experimentally Observed)

Canonical Pathways for My Projects->hdMouse_Final->BlackSig - 2019-04-13 08:24 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Actin Nucleation by ARP-WASP Complex	-0E00	NaN	1.39E-02	RAC1,	
Acute Phase Response Signaling	-0E00	NaN	5.59E-03	TF,	
Agranulocyte Adhesion and Diapedesis	-0E00	NaN	5.21E-03	GNAI1,	
Atherosclerosis Signaling	-0E00	NaN	1.56E-02	PAFAH1B2,PDGFC	
BMP signaling pathway	-0E00	NaN	1.18E-02	SMAD7,	
Calcium-induced T Lymphocyte Apoptosis	-0E00	NaN	1.52E-02	PRKCZ,	
Cancer Drug Resistance By Drug Efflux	-0E00	NaN	1.72E-02	MDM2,	
Cdc42 Signaling	-0E00	NaN	1.80E-02	PAK1,CDC42SE1,PRKCZ	
Cell Cycle Control of Chromosomal Replication	-0E00	NaN	1.79E-02	CDK11A,	
Chemokine Signaling	-0E00	NaN	1.25E-02	GNAI1,	
Cholecystokinin/Gastrin-mediated Signaling	-0E00	NaN	1.68E-02	PRKCZ,RAC1	
Corticotropin Releasing Hormone Signaling	-0E00	NaN	1.40E-02	GNAI1,PRKCZ	
Dendritic Cell Maturation	-0E00	NaN	1.53E-02	FGFR2,PIK3C2B,PLCL1	
EIF2 Signaling	-0E00	NaN	1.29E-02	CDK11A,FGFR2,PIK3C2B	
ERK5 Signaling	-0E00	NaN	1.39E-02	RPS6KA1,	
Eicosanoid Signaling	-0E00	NaN	1.47E-02	PAFAH1B2,	
Endocannabinoid Neuronal Synapse Pathway	-0E00	NaN	1.56E-02	GNAI1,PLCL1	
Epithelial Adherens Junction Signaling	-0E00	NaN	1.31E-02	EPN2,RAC1	
Estrogen Receptor Signaling	-0E00	NaN	7.30E-03	KAT2B,	
FXR/RXR Activation	-0E00	NaN	7.94E-03	TF,	
Factors Promoting Cardiogenesis in Vertebrates	-0E00	NaN	1.08E-02	PRKCZ,	
GABA Receptor Signaling	-0E00	NaN	1.05E-02	GPR37,	
Glutamate Receptor Signaling	-0E00	NaN	1.75E-02	GRM3,	
Granulocyte Adhesion and Diapedesis	-0E00	NaN	5.59E-03	GNAI1,	
Hepatic Cholestasis	-0E00	NaN	1.09E-02	SLCO3A1,PRKCZ	
IL-1 Signaling	-0E00	NaN	1.10E-02	GNAI1,	
IL-6 Signaling	-0E00	NaN	1.44E-02	FGFR2,PIK3C2B	
Melatonin Degradation I	-0E00	NaN	1.54E-02	CYP51A1,	
Mitochondrial Dysfunction	-0E00	NaN	1.75E-02	CAT,APP,ACO2	
Mouse Embryonic Stem Cell Pluripotency	-0E00	NaN	1.71E-02	FGFR2,PIK3C2B	
NER Pathway	-0E00	NaN	9.71E-03	COPS7B,	
Neuroinflammation Signaling Pathway	-0E00	NaN	9.58E-03	FGFR2,PIK3C2B,APP	
Nicotine Degradation II	-0E00	NaN	1.54E-02	CYP51A1,	
Nicotine Degradation III	-0E00	NaN	1.79E-02	CYP51A1,	
