© 2000-2021 QIAGEN. All rights reserved.

Analysis Details for My Projects->HD_Myelination_Paper->de12WkR62_res - 2019-03-28 04:30 PM
Workspace	My Projects
Project	HD_Myelination_Paper
Analysis	de12WkR62_res - 2019-03-28 04:30 PM
Date	Thu Mar 28 13:30:52 PDT 2019
Analysis ID	17615830

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Human OR Mouse OR Rat) AND
(confidence = Experimentally Observed)

Canonical Pathways for My Projects->HD_Myelination_Paper->de12WkR62_res - 2019-03-28 04:30 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Adenine and Adenosine Salvage III	-0E00		1.43E-01	HPRT1	
Adenosine Nucleotides Degradation II	-0E00		1.25E-01	NT5C,NT5C2	
Agranulocyte Adhesion and Diapedesis	-0E00		1.30E-01	CCL22,CCL25,CLDN11,CLDN14,CLDN5,CX3CL1,CXCL12,CXCL14,CXCL16,FN1,GNAI1,HRH1,ICAM2,IL33,ITGB1,MMP16,MMP2,MMP23B,MMP24,MSN,MYH10,MYH14,PODXL2,SDC4,SELPLG	
Airway Pathology in Chronic Obstructive Pulmonary Disease	-0E00		1.25E-01	MMP2	
Allograft Rejection Signaling	-0E00		9.30E-02	B2M,FCER1G,H2-K2/H2-Q9,H2-T22,H2-T24,HLA-A,HLA-E,HLA-G	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00		1.00E-01	CSF1,FCER1G,HLA-A,IL12A,IL33,NFKB1,TGFB1,TLR3,TNFRSF13C	
Apelin Muscle Signaling Pathway	-0E00		1.11E-01	GNAS,PRKAB1	
Assembly of RNA Polymerase II Complex	-0E00		1.40E-01	CCNH,GTF2H4,POLR2A,POLR2D,POLR2E,TAF7,TAF9	
Assembly of RNA Polymerase III Complex	-0E00		1.54E-01	GTF3A,POLR3D	
Autoimmune Thyroid Disease Signaling	-0E00		8.16E-02	FCER1G,HLA-A,HLA-E,HLA-G	
B Cell Development	-0E00		2.78E-02	HLA-A	
