© 2000-2021 QIAGEN. All rights reserved.

Analysis Details for My Projects->HD_Myelination_Paper->de1YQ175_res - 2019-03-28 04:51 PM
Workspace	My Projects
Project	HD_Myelination_Paper
Analysis	de1YQ175_res - 2019-03-28 04:51 PM
Date	Thu Mar 28 13:51:59 PDT 2019
Analysis ID	17615893

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Human OR Mouse OR Rat) AND
(confidence = Experimentally Observed)

Canonical Pathways for My Projects->HD_Myelination_Paper->de1YQ175_res - 2019-03-28 04:51 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
4-1BB Signaling in T Lymphocytes	-0E00		6.25E-02	ATF2,MAPK10	
Acetone Degradation I (to Methylglyoxal)	-0E00		3.33E-02	CYP2J2	
Activation of IRF by Cytosolic Pattern Recognition Receptors	-0E00	0.0	6.35E-02	ADAR,ATF2,IRF9,MAPK10	
Agranulocyte Adhesion and Diapedesis	-0E00		7.29E-02	ACTA2,ACTB,CLDN11,CLDN14,FN1,HRH1,IL33,ITGA3,ITGA4,MMP15,MMP16,MMP2,PODXL2,RDX	
Allograft Rejection Signaling	-0E00		1.16E-02	HLA-G	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00		2.22E-02	IL33,TNFRSF13C	
Apelin Adipocyte Signaling Pathway	-0E00	-0.4472135954999579	6.25E-02	ADCY2,APLN,GPX7,GSTM2,MAPK10	
Assembly of RNA Polymerase II Complex	-0E00		8.00E-02	CCNH,TAF4B,TAF5L,TAF6	
Assembly of RNA Polymerase III Complex	-0E00		7.69E-02	BRF1	
Atherosclerosis Signaling	-0E00		7.03E-02	CLU,COL5A3,IL33,ITGA4,PAFAH1B3,PLA2G16,PLA2G3,PLA2G4A,PLA2G7	
Autoimmune Thyroid Disease Signaling	-0E00		2.04E-02	HLA-G	
Bupropion Degradation	-0E00		4.00E-02	CYP2J2	
Cellular Effects of Sildenafil (Viagra)	-0E00		8.40E-02	ACTA2,ACTB,ADCY2,CACNG4,GNAS,GUCY1A1,ITPR2,PDE4B,PLCE1,PLCL1,PPP1CB	
Choline Biosynthesis III	-0E00		7.69E-02	CHPT1	
Chondroitin Sulfate Biosynthesis	-0E00		3.51E-02	CHST2,SULT4A1	
Chondroitin Sulfate Biosynthesis (Late Stages)	-0E00		4.08E-02	CHST2,SULT4A1	
Coagulation System	-0E00		2.86E-02	SERPIND1	
Communication between Innate and Adaptive Immune Cells	-0E00		4.17E-02	CD83,HLA-G,IL33,TNFRSF13C	
Complement System	-0E00		5.41E-02	C8G,CD59	
Cysteine Biosynthesis III (mammalia)	-0E00		8.33E-02	AHCYL1,MRM2	
DNA Double-Strand Break Repair by Non-Homologous End Joining	-0E00		7.14E-02	XRCC6	
Death Receptor Signaling	-0E00	-0.3779644730092272	7.53E-02	ACTA2,ACTB,APAF1,CASP3,DFFB,GAS2,TNFRSF21	
Dendritic Cell Maturation	-0E00	-0.5	8.16E-02	ATF2,CD83,COL5A3,FGFR3,GAB1,IL33,LTBR,MAPK10,NGFR,PIK3C3,PIK3CA,PIK3R1,PIK3R5,PLCE1,PLCL1,PTPN11	
Dermatan Sulfate Biosynthesis	-0E00		3.39E-02	CHST2,SULT4A1	
Dermatan Sulfate Biosynthesis (Late Stages)	-0E00		4.35E-02	CHST2,SULT4A1	
Dopamine Degradation	-0E00		8.11E-02	ALDH1A1,ALDH1L1,SULT4A1	
Estrogen Biosynthesis	-0E00		2.44E-02	CYP2J2	
FXR/RXR Activation	-0E00		7.14E-02	ABCB4,CLU,CYP27A1,FBP1,G6PC3,IL33,MAPK10,PPARA,SERPINF1	
Fatty Acid β-oxidation I	-0E00		6.25E-02	ACADM,IVD	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	-0E00	1.3416407864998738	6.85E-02	ADCY2,GNAS,ITPR2,PLCE1,PLCL1	
Glucocorticoid Receptor Signaling	-0E00		8.36E-02	ACTB,BCL2L1,CCNH,FGFR3,FKBP5,GAB1,HSP90AA1,HSP90AB1,JAK1,KAT2B,MAP3K1,MAPK10,NCOA3,NFATC2,NFATC3,NRAS,PIK3C3,PIK3CA,PIK3R1,PIK3R5,PTPN11,RALB,RRAS2,SMARCB1,SOS2,TAF4B,TAF5L,TAF6,TGFB2	
Glutaryl-CoA Degradation	-0E00		6.25E-02	L3HYPDH	
Glutathione-mediated Detoxification	-0E00		6.25E-02	GGH,GSTM2	
Graft-versus-Host Disease Signaling	-0E00		4.17E-02	HLA-G,IL33	
Granulocyte Adhesion and Diapedesis	-0E00		7.78E-02	CLDN11,CLDN14,HRH1,IL33,ITGA3,ITGA4,ITGB3,MMP15,MMP16,MMP2,NGFR,RDX,SDC2,SDC3	
Heparan Sulfate Biosynthesis	-0E00	0.3779644730092272	8.43E-02	AARS1,CHST2,EXTL2,EXTL3,GLCE,PNPLA7,SULT4A1	
Hypoxia Signaling in the Cardiovascular System	-0E00		8.11E-02	ATF2,HSP90AA1,HSP90AB1,TP53,UBE2D1,UBE2H	
IL-10 Signaling	-0E00		4.35E-02	IL10RB,IL33,JAK1	
IL-12 Signaling and Production in Macrophages	-0E00		8.11E-02	CLU,FGFR3,GAB1,MAPK10,PIK3C3,PIK3CA,PIK3R1,PIK3R5,PRKCA,PRKD1,PTPN11,TGFB2	
IL-15 Production	-0E00		3.57E-02	JAK1	
IL-17A Signaling in Gastric Cells	-0E00		4.00E-02	MAPK10	
Inflammasome pathway	-0E00		5.00E-02	NEK7	
Intrinsic Prothrombin Activation Pathway	-0E00		4.76E-02	COL5A3,KLK6	
Iron homeostasis signaling pathway	-0E00		8.03E-02	ATP6V1G2,BMP2,BMP4,CUL1,FLVCR1,FTH1,JAK1,LRP1,PDGFRA,SLC46A1,TFRC	
LPS/IL-1 Mediated Inhibition of RXR Function	-0E00	-0.4472135954999579	6.73E-02	ABCB9,ABCC4,ALDH18A1,ALDH1A1,ALDH1L1,ALDH5A1,CHST2,FABP7,GSTM2,IL33,MAP3K1,NGFR,PPARA,SULT4A1,XPO1	
LXR/RXR Activation	-0E00	2.23606797749979	4.13E-02	CLU,IL33,NGFR,RXRG,SERPINF1	
MIF-mediated Glucocorticoid Regulation	-0E00		5.88E-02	PLA2G3,PLA2G4A	
Maturity Onset Diabetes of Young (MODY) Signaling	-0E00		4.76E-02	INSR	
Melatonin Degradation I	-0E00		3.08E-02	CYP2J2,SULT4A1	
Mitochondrial Dysfunction	-0E00		7.60E-02	APP,ATPAF1,BACE1,BACE2,CASP3,COX6B2,GPX7,GSR,MAPK10,OGDH,PINK1,SNCA,VDAC3	
Neuroprotective Role of THOP1 in Alzheimer's Disease	-0E00	0.7071067811865475	8.33E-02	APP,HLA-G,HTRA1,HTRA3,KLK6,MAPT,PRSS23,SERPINA3,ST14,THOP1	
Nicotine Degradation II	-0E00		1.54E-02	CYP2J2	
Nicotine Degradation III	-0E00		1.79E-02	CYP2J2	
Noradrenaline and Adrenaline Degradation	-0E00		8.11E-02	ALDH1A1,ALDH1L1,DHRS4	
Nucleotide Excision Repair Pathway	-0E00		5.71E-02	CCNH,RAD23B	
Nur77 Signaling in T Lymphocytes	-0E00		8.47E-02	APAF1,CABIN1,CASP3,HDAC9,MEF2D	
OX40 Signaling Pathway	-0E00		3.33E-02	BCL2L1,HLA-G,MAPK10	
Oxidative Phosphorylation	-0E00		1.83E-02	ATPAF1,COX6B2	
PXR/RXR Activation	-0E00		7.69E-02	ABCB9,ALDH1A1,GSTM2,INSR,PPARA	
Phototransduction Pathway	-0E00		3.77E-02	GUCY1A1,RGS9	
Primary Immunodeficiency Signaling	-0E00		4.00E-02	TAP2,TNFRSF13C	
Purine Nucleotides Degradation II (Aerobic)	-0E00		5.26E-02	IMPDH2	
RAN Signaling	-0E00		5.88E-02	XPO1	
Retinoic acid Mediated Apoptosis Signaling	-0E00		6.45E-02	APAF1,CASP3,RARB,RXRG	
Retinol Biosynthesis	-0E00		2.38E-02	DHRS4	
Role of Cytokines in Mediating Communication between Immune Cells	-0E00		1.85E-02	IL33	
