© 2000-2021 QIAGEN. All rights reserved.

Analysis Details for My Projects->HD_Myelination_Paper->de6WkR62_res2 - 2019-03-29 11:31 AM
Workspace	My Projects
Project	HD_Myelination_Paper
Analysis	de6WkR62_res2 - 2019-03-29 11:31 AM
Date	Fri Mar 29 08:31:46 PDT 2019
Analysis ID	17620251

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Human OR Mouse OR Rat) AND
(confidence = Experimentally Observed)

Canonical Pathways for My Projects->HD_Myelination_Paper->de6WkR62_res2 - 2019-03-29 11:31 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
4-1BB Signaling in T Lymphocytes	-0E00		3.12E-02	MAPK10	
ATM Signaling	-0E00		3.09E-02	GADD45A,MAPK10,PPP2CA	
Agranulocyte Adhesion and Diapedesis	-0E00		3.12E-02	ACTG1,CLDN11,CLDN14,IL33,MMP2,TNF	
April Mediated Signaling	-0E00		2.56E-02	MAPK10	
Atherosclerosis Signaling	-0E00		2.34E-02	IL33,PLA2G16,TNF	
B Cell Development	-0E00		2.78E-02	HLA-A	
BMP signaling pathway	-0E00		3.66E-02	MAPK10,PRKAR1B,SMAD7	
Bladder Cancer Signaling	-0E00		3.19E-02	FGF1,FGF14,MMP2	
CCR5 Signaling in Macrophages	-0E00		2.13E-02	MAPK10,PRKCE	
Calcium Signaling	-0E00	0.8164965809277261	3.88E-02	ATP2B3,CABIN1,CAMK2G,CASQ1,MICU1,PPP3R1,PRKAR1B,RCAN2	
Cell Cycle Control of Chromosomal Replication	-0E00		1.79E-02	CDK19	
Cell Cycle Regulation by BTG Family Proteins	-0E00		2.70E-02	PPP2CA	
Cell Cycle: G1/S Checkpoint Regulation	-0E00		2.99E-02	FBXL5,TGFB3	
Chemokine Signaling	-0E00		1.30E-02	CAMK2G	
Chondroitin Sulfate Biosynthesis	-0E00		3.51E-02	CHST12,HS3ST1	
Chondroitin Sulfate Biosynthesis (Late Stages)	-0E00		4.08E-02	CHST12,HS3ST1	
Coagulation System	-0E00		2.86E-02	SERPIND1	
Corticotropin Releasing Hormone Signaling	-0E00	1.0	2.80E-02	ADCY5,POMC,PRKAR1B,PRKCE	
Cyclins and Cell Cycle Regulation	-0E00		3.70E-02	FBXL5,PPP2CA,TGFB3	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	-0E00		3.70E-02	PIP4K2A	
DNA Methylation and Transcriptional Repression Signaling	-0E00		2.94E-02	HIST1H4I	
Dermatan Sulfate Biosynthesis	-0E00		3.39E-02	CHST12,HS3ST1	
Dopamine Degradation	-0E00		2.70E-02	SMOX	
EIF2 Signaling	-0E00	0.3779644730092272	3.06E-02	DDIT3,EIF2AK2,FGFR2,FGFR4,GAB1,HSPA5,PTPN11	
Eicosanoid Signaling	-0E00		1.47E-02	PLA2G16	
Estrogen Receptor Signaling	-0E00		2.99E-02	ERCC3,HNRNPD,MNAT1,POLR2A	
Ethanol Degradation II	-0E00		2.94E-02	DHRS4	
Ethanol Degradation IV	-0E00		4.00E-02	CAT	
Fatty Acid β-oxidation I	-0E00		3.12E-02	ACSL3	
Glutamate Receptor Signaling	-0E00		3.51E-02	GLUL,GRM3	
Granulocyte Adhesion and Diapedesis	-0E00		3.89E-02	CLDN11,CLDN14,IL1RAP,IL33,MMP2,NGFR,TNF	
Gαs Signaling	-0E00		2.80E-02	ADCY5,ADD1,PRKAR1B	
HIPPO signaling	-0E00		2.35E-02	PPP2CA,YWHAZ	
Heparan Sulfate Biosynthesis	-0E00		2.41E-02	CHST12,HS3ST1	
Heparan Sulfate Biosynthesis (Late Stages)	-0E00		2.63E-02	CHST12,HS3ST1	
Inhibition of Angiogenesis by TSP1	-0E00		2.94E-02	MAPK10	
Inhibition of Matrix Metalloproteases	-0E00		2.56E-02	MMP2	
Insulin Receptor Signaling	-0E00	-0.8164965809277261	4.08E-02	FGFR2,FGFR4,GAB1,INPP5J,PRKAR1B,PTPN11	
Iron homeostasis signaling pathway	-0E00		3.65E-02	ACO2,FBXL5,SLC48A1,TCIRG1,TF	
MIF Regulation of Innate Immunity	-0E00		2.38E-02	MAPK10	
Oncostatin M Signaling	-0E00		2.50E-02	STAT1	
Opioid Signaling Pathway	-0E00	1.889822365046136	2.85E-02	ADCY5,CAMK2G,POMC,PPP3R1,PRKAR1B,PRKCE,RPS6KA1	
Oxidative Phosphorylation	-0E00		9.17E-03	COX6B2	
Phospholipase C Signaling	-0E00	0.0	3.69E-02	ADCY5,ARHGEF19,FNBP1,MYLPF,PPP3R1,PRKCE,RALGDS,RHOG,RND2	
Phototransduction Pathway	-0E00		1.89E-02	PRKAR1B	
Primary Immunodeficiency Signaling	-0E00		4.00E-02	TAP2,TNFRSF13C	
Pyrimidine Ribonucleotides De Novo Biosynthesis	-0E00		2.17E-02	CMPK2	
Pyrimidine Ribonucleotides Interconversion	-0E00		2.27E-02	CMPK2	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00		3.49E-02	MAPK10,PPP3R1,TGFB3	
Regulation of eIF4 and p70S6K Signaling	-0E00	-0.4472135954999579	3.03E-02	FGFR2,FGFR4,GAB1,PPP2CA,PTPN11	
Retinoate Biosynthesis I	-0E00		2.94E-02	DHRS4	
Retinol Biosynthesis	-0E00		2.38E-02	DHRS4	
Role of CHK Proteins in Cell Cycle Checkpoint Control	-0E00		1.75E-02	PPP2CA	
Role of IL-17F in Allergic Inflammatory Airway Diseases	-0E00		2.22E-02	RPS6KA1	
Role of MAPK Signaling in the Pathogenesis of Influenza	-0E00		3.80E-02	MAPK10,PLA2G16,TNF	
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	-0E00		2.17E-02	CCNF	
STAT3 Pathway	-0E00	-0.4472135954999579	3.79E-02	FGFR2,FGFR4,MAP3K11,MAPK10,NGFR	
Serotonin Degradation	-0E00		4.05E-02	B4GAT1,DHRS4,SMOX	
Sonic Hedgehog Signaling	-0E00		3.33E-02	PRKAR1B	
TGF-β Signaling	-0E00		3.23E-02	IRF7,SMAD7,TGFB3	
TNFR2 Signaling	-0E00		3.33E-02	TNF	
TREM1 Signaling	-0E00		2.67E-02	TLR3,TNF	
