© 2000-2022 QIAGEN. All rights reserved.

Analysis Details for My Projects->HD_Myelination_Paper->tissueQ175sig - 2022-03-03 08:59 PM
Workspace	My Projects
Project	HD_Myelination_Paper
Analysis	tissueQ175sig - 2022-03-03 08:59 PM
Date	Thu Mar 03 17:59:52 PST 2022
Analysis ID	39284699

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->HD_Myelination_Paper->tissueQ175sig - 2022-03-03 08:59 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Acetone Degradation I (to Methylglyoxal)	-0E00		2.50E-02	POR	
Adipogenesis pathway	-0E00		2.96E-02	CDK5,CTBP1,HDAC2,TBL1XR1	
Agranulocyte Adhesion and Diapedesis	-0E00		9.35E-03	IL33,Podxl	
Airway Pathology in Chronic Obstructive Pulmonary Disease	-0E00		1.69E-02	FGF13,IL33	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00		2.03E-03	IL33	
April Mediated Signaling	-0E00		2.38E-02	MAPK11	
B Cell Activating Factor Signaling	-0E00		2.33E-02	MAPK11	
B Cell Receptor Signaling	-0E00	-1.1338934190276817	1.27E-02	CAMK4,GAB1,MAP3K5,MAPK11,MRAS,PRKCB,RAP2A,RAP2B	
BER (Base Excision Repair) Pathway	-0E00		2.27E-02	APEX1	
CCR5 Signaling in Macrophages	-0E00		1.80E-02	CACNG3,CAMK4,GNA12,GNAZ,GNB1,ITPR1,MAPK11,MRAS,PRKCB	
CD27 Signaling in Lymphocytes	-0E00		1.75E-02	MAP3K5	
CD28 Signaling in T Helper Cells	-0E00		3.87E-03	CAMK4,ITPR1	
CD40 Signaling	-0E00		1.49E-02	MAPK11	
CDC42 Signaling	-0E00		5.22E-03	ITGB8,MAPK11,PAK3	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00		8.37E-03	AP2A2,CLTC,PPP2CA,PPP2CB	
Calcium-induced T Lymphocyte Apoptosis	-0E00	-2.0	1.09E-02	ATP2A2,CAMK4,HDAC2,ITPR1,PRKCB	
Cell Cycle Control of Chromosomal Replication	-0E00		1.79E-02	CDK5	
Cell Cycle: G1/S Checkpoint Regulation	-0E00		1.47E-02	HDAC2	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	-0E00		2.00E-02	YWHAZ	
Chondroitin Sulfate Biosynthesis	-0E00		1.72E-02	HS2ST1	
Chondroitin Sulfate Biosynthesis (Late Stages)	-0E00		2.00E-02	HS2ST1	
Communication between Innate and Adaptive Immune Cells	-0E00		1.08E-03	IL33	
Complement System	-0E00		2.70E-02	C1QBP	
Coronavirus Pathogenesis Pathway	-0E00	0.8164965809277261	2.96E-02	ATP6AP1,ATP6V1A,HDAC2,MAPK11,RPS15,RPS28	
Crosstalk between Dendritic Cells and Natural Killer Cells	-0E00		2.20E-02	FSCN1,TLN2	
Death Receptor Signaling	-0E00		2.08E-02	HTRA2,MAP3K5	
Dendritic Cell Maturation	-0E00	-2.0	6.76E-03	FSCN1,IL33,MAPK11,PLCL1	
Dermatan Sulfate Biosynthesis	-0E00		1.67E-02	HS2ST1	
