Row.names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	external_gene_name	gene_biotype	description	percentage_gene_gc_content
ENSMUSG00000003477	507.068442860493	3.90298495366813	0.689285671911047	5.66236193891437	1.49303490167279e-08	4.18773510792614e-05	Inmt	protein_coding	Indolethylamine N-methyltransferase  [Source:UniProtKB/Swiss-Prot;Acc:P40936]	51.24
ENSMUSG00000023067	3497.05591819517	2.95804738453893	0.67074193491048	4.41011248973679	1.03316935253405e-05	0.00873612068177486	Cdkn1a	protein_coding	Cyclin-dependent kinase inhibitor 1  [Source:UniProtKB/Swiss-Prot;Acc:P39689]	53.89
ENSMUSG00000024112	104.368888620431	-2.43281507576837	0.544126305054669	-4.47104845542055	7.78370585204908e-06	0.00720845292431669	Cacna1h	protein_coding	voltage-dependent T-type calcium channel subunit alpha-1H isoform 2  [Source:RefSeq peptide;Acc:NP_001157163]	55.73
ENSMUSG00000025511	286.977560196644	3.71117535274181	0.655600198596595	5.66072945170868	1.50730901663323e-08	4.18773510792614e-05	Tspan4	protein_coding	tetraspanin 4 [Source:MGI Symbol;Acc:MGI:1928097]	53.88
ENSMUSG00000026833	3347.99479145395	0.721024440901216	0.13929124360288	5.17638023935561	2.26232156073648e-07	0.000338443305486177	Olfm1	protein_coding	olfactomedin 1 [Source:MGI Symbol;Acc:MGI:1860437]	52.31
ENSMUSG00000029175	2466.54932799355	-0.551802395101434	0.11099731026576	-4.97131321272792	6.65009143265119e-07	0.000808318613638752	Slc35f6	protein_coding	Solute carrier family 35 member F6  [Source:UniProtKB/Swiss-Prot;Acc:Q8VE96]	51.75
ENSMUSG00000036185	114.875584594921	1.38702130565007	0.314226350664643	4.41408335970642	1.01438869655839e-05	0.00873612068177486	Sapcd1	protein_coding	Suppressor APC domain-containing protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9CY86]	55.83
ENSMUSG00000037664	1008.21776748389	1.11212488415871	0.223181237991188	4.98305724158865	6.25874255030655e-07	0.000808318613638752	Cdkn1c	protein_coding	Mus musculus cyclin-dependent kinase inhibitor 1C (P57) (Cdkn1c), mRNA. [Source:RefSeq mRNA;Acc:NM_001354981]	63.24
ENSMUSG00000069117	379.411695450431	1.82292716090835	0.294982003813036	6.17979109689602	6.41864788262118e-10	4.16099546737389e-06	Gm10260	protein_coding		53.3
ENSMUSG00000090671	329.709458104575	1.32796528859354	0.172178937261364	7.7127046415539	1.23178936911087e-14	1.19779198252341e-10	Gm5067	processed_pseudogene	predicted gene 5067 [Source:MGI Symbol;Acc:MGI:3644982]	60.16
ENSMUSG00000104651	112.633655928807	1.26946432694302	0.230466898686982	5.50822844484574	3.62462840357172e-08	7.04917731926628e-05	Gm21168	processed_pseudogene	predicted gene, 21168 [Source:MGI Symbol;Acc:MGI:5434523]	60.77
ENSMUSG00000105422	66.9741911754963	2.2813986502808	0.387119287330968	5.89327043354034	3.78625988690765e-09	1.4727036456116e-05	Gm6089	processed_pseudogene	predicted gene 6089 [Source:MGI Symbol;Acc:MGI:3647070]	60.02
ENSMUSG00000113061	139.035486729117	1.54662276988917	0.28783942576074	5.37321378335004	7.73455352573078e-08	0.00013674690633492	Gm11361	protein_coding		51.73
