Protein FDR Confidence,Accession,Description,MW [kDa],# Unique Peptides,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,Abundance Ratio (log2): (R62) / (WTR),P-Value,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,,,
High,Q91XE4,N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming) OS=Mus musculus (Mouse) OX=10090 GN=Acy3 PE=1 SV=1,35.3,6,,,,6,3,,,,,9,4,,6.64,1.00E-17,,,,4,2,3,,,,9.25E+06,4.55E+06,2.66E+06,,,
High,P07309,Transthyretin OS=Mus musculus (Mouse) OX=10090 GN=Ttr PE=1 SV=1,15.8,6,,,,,4,4,,,,,6,6,6.59,1.00E-17,1,,1,2,5,5,6.87E+05,,5.05E+05,4.54E+06,1.26E+08,5.66E+07,,,
High,P07310,Creatine kinase M-type OS=Mus musculus (Mouse) OX=10090 GN=Ckm PE=1 SV=1,43,15,,,4,,13,9,,,6,,28,12,5.97,1.00E-17,1,1,5,3,13,13,6.11E+05,1.63E+06,2.54E+07,1.49E+06,3.91E+08,1.02E+08,,,
High,Q9R1E6,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 OS=Mus musculus (Mouse) OX=10090 GN=Enpp2 PE=1 SV=3,98.8,22,,4,,5,16,15,,4,,5,40,23,5.86,1.00E-17,1,7,4,6,17,15,1.79E+05,5.86E+06,2.77E+06,5.48E+06,7.73E+08,1.60E+08,,,
High,P07724,Serum albumin OS=Mus musculus (Mouse) OX=10090 GN=Alb PE=1 SV=3,68.6,36,5,5,6,3,31,28,6,6,15,3,139,100,4.54,3.06E-14,10,13,17,9,31,29,2.66E+08,3.95E+07,2.11E+08,2.96E+07,1.62E+10,4.91E+09,,,
High,P19324,Serpin H1 OS=Mus musculus (Mouse) OX=10090 GN=Serpinh1 PE=1 SV=3,46.5,7,7,,,2,2,1,11,,,2,2,1,-4.8,1.49E-13,6,,,1,2,3,3.78E+07,,,4.54E+05,6.67E+06,1.35E+06,,,
High,Q06890,Clusterin OS=Mus musculus (Mouse) OX=10090 GN=Clu PE=1 SV=1,51.6,4,,1,,,4,3,,1,,,5,4,5.19,2.22E-13,,1,,3,3,4,,4.49E+05,,2.46E+06,3.55E+07,1.64E+07,,,
High,P21550,Beta-enolase OS=Mus musculus (Mouse) OX=10090 GN=Eno3 PE=1 SV=3,47,6,6,5,3,6,8,8,27,8,4,11,19,15,4.34,3.67E-13,4,2,3,3,7,8,3.49E+07,6.62E+05,2.04E+06,2.84E+06,9.28E+07,4.12E+07,,,
High,Q9R0P9,Ubiquitin carboxyl-terminal hydrolase isozyme L1 OS=Mus musculus (Mouse) OX=10090 GN=Uchl1 PE=1 SV=1,24.8,7,,5,1,7,4,6,,6,2,13,5,8,4.29,6.03E-13,2,6,5,9,5,7,2.49E+06,1.11E+07,4.46E+06,1.07E+08,8.75E+07,5.44E+07,,,
High,P21460,Cystatin-C OS=Mus musculus (Mouse) OX=10090 GN=Cst3 PE=1 SV=2,15.5,8,2,1,3,1,7,5,2,1,3,1,17,7,4.04,1.04E-11,2,2,3,3,7,5,2.28E+06,1.92E+06,7.41E+06,1.18E+06,4.48E+08,3.75E+07,,,
High,P50114,Protein S100-B OS=Mus musculus (Mouse) OX=10090 GN=S100b PE=1 SV=2,10.7,3,1,1,1,3,2,3,1,2,1,11,4,4,3.89,5.37E-11,1,4,3,4,2,4,1.35E+06,9.31E+06,4.92E+06,1.34E+08,4.21E+07,7.31E+07,,,
High,P63158,High mobility group protein B1 OS=Mus musculus (Mouse) OX=10090 GN=Hmgb1 PE=1 SV=2,24.9,14,13,13,6,12,7,6,41,23,8,22,18,10,-3.86,4.25E-09,15,15,10,15,8,12,1.30E+09,2.29E+09,1.07E+09,1.59E+09,5.33E+07,8.96E+07,,,
High,Q8BTM8,Filamin-A OS=Mus musculus (Mouse) OX=10090 GN=Flna PE=1 SV=5,281,59,63,2,1,4,16,13,87,2,1,4,50,18,3.27,2.75E-08,47,6,7,11,20,14,2.41E+08,8.51E+06,3.33E+06,1.41E+07,1.25E+09,8.20E+07,,,
High,P28271,Cytoplasmic aconitate hydratase OS=Mus musculus (Mouse) OX=10090 GN=Aco1 PE=1 SV=3,98.1,13,5,5,,11,1,2,6,6,,11,1,2,3.2,5.27E-08,9,10,6,12,9,5,1.63E+07,6.08E+06,5.45E+06,1.09E+07,7.55E+07,5.57E+07,,,
High,P01027,Complement C3 OS=Mus musculus (Mouse) OX=10090 GN=C3 PE=1 SV=3,186.4,9,,,,,9,4,,,,,13,4,3.56,2.98E-07,1,2,2,2,8,6,8.92E+05,4.03E+06,1.40E+06,7.13E+06,3.90E+07,1.64E+07,,,
High,P51885,Lumican OS=Mus musculus (Mouse) OX=10090 GN=Lum PE=1 SV=2,38.2,5,,,,,5,3,,,,,6,3,3.88,6.30E-07,2,,1,1,4,4,2.12E+06,,2.50E+05,6.48E+04,3.39E+07,1.07E+07,,,
High,Q8VCT3,Aminopeptidase B OS=Mus musculus (Mouse) OX=10090 GN=Rnpep PE=1 SV=2,72.4,13,5,5,2,10,6,5,7,6,2,10,7,6,3.3,1.12E-06,5,5,3,11,8,8,6.68E+06,1.68E+06,1.16E+06,1.93E+07,1.66E+07,1.37E+07,,,
High,P32848,Parvalbumin alpha OS=Mus musculus (Mouse) OX=10090 GN=Pvalb PE=1 SV=3,11.9,5,,1,1,2,4,5,,2,1,2,6,6,3.21,1.32E-06,,2,2,1,4,4,,8.66E+05,4.87E+06,1.22E+06,8.57E+07,1.91E+07,,,
High,Q9QZE5,Coatomer subunit gamma-1 OS=Mus musculus (Mouse) OX=10090 GN=Copg1 PE=1 SV=1,97.5,9,9,2,1,4,,2,9,2,1,4,,2,4.29,1.63E-06,7,2,1,3,3,1,9.44E+06,1.92E+05,4.27E+04,3.77E+06,9.38E+06,1.32E+06,,,
High,P30681,High mobility group protein B2 OS=Mus musculus (Mouse) OX=10090 GN=Hmgb2 PE=1 SV=3,24.1,3,4,4,1,3,1,1,9,6,1,4,1,1,-3.16,1.95E-06,3,3,2,3,,2,4.04E+07,5.21E+07,4.50E+06,6.69E+06,,3.04E+06,,,
High,O89086,RNA-binding protein 3 OS=Mus musculus (Mouse) OX=10090 GN=Rbm3 PE=1 SV=1,16.6,6,1,5,2,6,2,3,1,5,2,7,3,3,2.47,2.06E-05,,6,3,7,3,4,,9.90E+06,1.67E+06,2.24E+07,8.56E+07,7.64E+06,,,
High,O88441,Metaxin-2 OS=Mus musculus (Mouse) OX=10090 GN=Mtx2 PE=1 SV=1,29.7,6,1,4,1,6,,1,2,4,1,7,,1,-4.42,2.44E-05,3,4,3,3,1,1,2.78E+06,3.54E+06,1.16E+06,6.78E+06,3.77E+04,1.30E+05,,,
High,O35459,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Ech1 PE=1 SV=1",36.1,6,3,4,1,6,2,2,3,5,1,6,2,3,2.45,2.54E-05,4,4,2,4,2,4,5.11E+06,6.60E+06,3.18E+06,5.97E+06,4.82E+07,2.79E+07,,,
High,Q80SW1,S-adenosylhomocysteine hydrolase-like protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Ahcyl1 PE=1 SV=1,58.9,11,10,3,,7,2,2,11,3,,7,2,2,-2.94,5.51E-05,11,8,3,7,2,3,2.47E+07,1.75E+07,6.34E+05,9.62E+06,2.27E+06,1.22E+06,,,
High,Q9CSN1,SNW domain-containing protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Snw1 PE=1 SV=3,61.4,9,5,6,1,4,2,2,5,6,1,4,2,2,2.87,6.43E-05,2,7,5,6,4,3,1.06E+06,8.00E+06,1.78E+06,1.30E+07,3.38E+07,2.12E+06,,,
High,Q9DBG5,Perilipin-3 OS=Mus musculus (Mouse) OX=10090 GN=Plin3 PE=1 SV=1,47.2,16,6,11,7,14,7,9,8,19,10,25,11,12,2.26,7.97E-05,9,14,13,15,10,10,1.89E+07,2.70E+07,1.66E+07,9.09E+07,1.01E+08,3.17E+07,,,
